name,n_members,PE_1h,PE_6h,PE_12h,PE_pers_1h,PE_st_6h,n_storm
lstm,15,0.9617658257484436,0.8948409557342529,0.8571998476982117,-0.8827754259109497,0.8176222443580627,932
transformer,15,0.9837213754653932,0.9068018198013306,0.8610597848892212,0.1983861327171325,0.8160266876220703,932
transformer_matched,15,0.9841254353523254,0.9075732231140136,0.8612776398658752,0.2182859182357788,0.8305377960205078,932
storm_bz,15,0.9869306683540344,0.9101513624191284,0.8699946403503418,0.3564229011535644,0.8364750742912292,932
storm_no_delay,15,0.9877675771713256,0.910592794418335,0.8701138496398926,0.397634208202362,0.8308010697364807,932
storm_no_physics,15,0.9868976473808287,0.9092119932174684,0.8670458197593689,0.3547975420951843,0.8325127363204956,932
storm_no_gate,15,0.9871199131011964,0.910474956035614,0.8711725473403931,0.3657417893409729,0.8424417972564697,932
